"gmina","gmina_nazwa","rok","lud_na_1k"
"3001011","Chodzież (1)",2000,NA
"3001011","Chodzież (1)",2001,NA
"3001011","Chodzież (1)",2002,1549
"3001011","Chodzież (1)",2003,1546.4
"3001011","Chodzież (1)",2004,1543.1
"3001011","Chodzież (1)",2005,1543.9
"3001011","Chodzież (1)",2006,1542.3
"3001011","Chodzież (1)",2007,1535.2
"3001011","Chodzież (1)",2008,1536
"3001011","Chodzież (1)",2009,1529
"3001011","Chodzież (1)",2010,1546.8
"3001011","Chodzież (1)",2011,1542.1
"3001011","Chodzież (1)",2012,1538.8
"3001011","Chodzież (1)",2013,1519.1
"3001011","Chodzież (1)",2014,1511.3
"3001011","Chodzież (1)",2015,1503.4
"3001011","Chodzież (1)",2016,1492.8
"3001011","Chodzież (1)",2017,1478.2
"3001011","Chodzież (1)",2018,1463.1
"3001011","Chodzież (1)",2019,1447.1
"3001011","Chodzież (1)",2020,1417.5
"3001011","Chodzież (1)",2021,1397.9
"3001011","Chodzież (1)",2022,1377.8
"3001011","Chodzież (1)",2023,1356.4
"3001022","Budzyń (2)",2000,NA
"3001022","Budzyń (2)",2001,NA
"3001022","Budzyń (2)",2002,39.5
"3001022","Budzyń (2)",2003,39.6
"3001022","Budzyń (2)",2004,39.5
"3001022","Budzyń (2)",2005,39.6
"3001022","Budzyń (2)",2006,39.4
"3001022","Budzyń (2)",2007,39.3
"3001022","Budzyń (2)",2008,39.8
"3001022","Budzyń (2)",2009,40
"3001022","Budzyń (2)",2010,40.2
"3001022","Budzyń (2)",2011,40.3
"3001022","Budzyń (2)",2012,40.2
"3001022","Budzyń (2)",2013,40.4
"3001022","Budzyń (2)",2014,40.4
"3001022","Budzyń (2)",2015,40.3
"3001022","Budzyń (2)",2016,40.4
"3001022","Budzyń (2)",2017,40.5
"3001022","Budzyń (2)",2018,40.7
"3001022","Budzyń (2)",2019,40.8
"3001022","Budzyń (2)",2020,40.1
"3001022","Budzyń (2)",2021,NA
"3001022","Budzyń (2)",2022,NA
"3001022","Budzyń (2)",2023,NA
"3001023","Budzyń (3)",2000,NA
"3001023","Budzyń (3)",2001,NA
"3001023","Budzyń (3)",2002,NA
"3001023","Budzyń (3)",2003,NA
"3001023","Budzyń (3)",2004,NA
"3001023","Budzyń (3)",2005,NA
"3001023","Budzyń (3)",2006,NA
"3001023","Budzyń (3)",2007,NA
"3001023","Budzyń (3)",2008,NA
"3001023","Budzyń (3)",2009,NA
"3001023","Budzyń (3)",2010,NA
"3001023","Budzyń (3)",2011,NA
"3001023","Budzyń (3)",2012,NA
"3001023","Budzyń (3)",2013,NA
"3001023","Budzyń (3)",2014,NA
"3001023","Budzyń (3)",2015,NA
"3001023","Budzyń (3)",2016,NA
"3001023","Budzyń (3)",2017,NA
"3001023","Budzyń (3)",2018,NA
"3001023","Budzyń (3)",2019,NA
"3001023","Budzyń (3)",2020,NA
"3001023","Budzyń (3)",2021,40
"3001023","Budzyń (3)",2022,39.7
"3001023","Budzyń (3)",2023,39.6
"3001024","Budzyń - miasto (4)",2000,NA
"3001024","Budzyń - miasto (4)",2001,NA
"3001024","Budzyń - miasto (4)",2002,NA
"3001024","Budzyń - miasto (4)",2003,NA
"3001024","Budzyń - miasto (4)",2004,NA
"3001024","Budzyń - miasto (4)",2005,NA
"3001024","Budzyń - miasto (4)",2006,NA
"3001024","Budzyń - miasto (4)",2007,NA
"3001024","Budzyń - miasto (4)",2008,NA
"3001024","Budzyń - miasto (4)",2009,NA
"3001024","Budzyń - miasto (4)",2010,NA
"3001024","Budzyń - miasto (4)",2011,NA
"3001024","Budzyń - miasto (4)",2012,NA
"3001024","Budzyń - miasto (4)",2013,NA
"3001024","Budzyń - miasto (4)",2014,NA
"3001024","Budzyń - miasto (4)",2015,NA
"3001024","Budzyń - miasto (4)",2016,NA
"3001024","Budzyń - miasto (4)",2017,NA
"3001024","Budzyń - miasto (4)",2018,NA
"3001024","Budzyń - miasto (4)",2019,NA
"3001024","Budzyń - miasto (4)",2020,NA
"3001024","Budzyń - miasto (4)",2021,114.5
"3001024","Budzyń - miasto (4)",2022,114.4
"3001024","Budzyń - miasto (4)",2023,115
"3001025","Budzyń - obszar wiejski (5)",2000,NA
"3001025","Budzyń - obszar wiejski (5)",2001,NA
"3001025","Budzyń - obszar wiejski (5)",2002,NA
"3001025","Budzyń - obszar wiejski (5)",2003,NA
"3001025","Budzyń - obszar wiejski (5)",2004,NA
"3001025","Budzyń - obszar wiejski (5)",2005,NA
"3001025","Budzyń - obszar wiejski (5)",2006,NA
"3001025","Budzyń - obszar wiejski (5)",2007,NA
"3001025","Budzyń - obszar wiejski (5)",2008,NA
"3001025","Budzyń - obszar wiejski (5)",2009,NA
"3001025","Budzyń - obszar wiejski (5)",2010,NA
